Settlement,Distance from home (km)
East Green,31.3
Weybread Street,31.3
Wilde Street,31.5
Martlesham,31.6
Flatford,31.7
Brantham,32.0
Beck Row,32.1
Foxhall,32.1
Woolverstone,32.3
Little Bradley,32.3
Lodge Farm,32.3
Parham,32.6
Pettistree,32.6
Cattawade,32.7
Woodbridge,32.7
Melton,32.8
Freckenham,32.8
Little Whittingham Green,32.8
Little Thurlow,32.9
Wickham Market,32.9
West Row,32.9
Ufford,32.9
Badingham,32.9
North Green,32.9
Hacheston,33.0
Great Bradley,33.1
Holbrook,33.1
Great Thurlow,33.2
Stutton,33.3
Great Wratting,33.3
Mill Green,33.3
Little Wratting,33.4
Nacton,33.4
Silverley's Green,33.4
Wixoe,33.5
Undley,33.6
Silverlace Green,33.6
Withersdale Street,33.7
Cransford,33.8
Bucklesham,34.0
Waldringfield Heath,34.0
Pin Mill,34.1
Bruisyard,34.6
Bromeswell,34.7
Lower Holbrook,34.8
Cratfield,34.9
Levington,35.0
Marlesford,35.1
Kenny Hill,35.2
Waldringfield,35.3
Harkstead,35.4
Metfield,35.5
Campsea Ashe,35.5
Eyke,35.6
Newbourne,35.7
Great Glemham,35.9
Haverhill,36.1
Stratton Hall,36.1
Little Glemham,36.2
Exning,36.3
Heveningham,36.3
Sweffling,36.5
Sutton,36.7
Rendlesham,36.9
Huntingfield,37.0
Friday Street,37.0
Hemley,37.1
Shop Corner,37.1
Spratt's Street,37.4
Erwarton,37.5
Sutton Heath,37.5
Cookley Green,37.5
Collipy's Green,37.5
Stratford St Andrew,37.7
Peasenhall,37.7
Benhall Street,37.7
Linstead Parva,37.8
Morrellhaugh Green,37.8
Silverlace Green,37.9
Kirton,38.0
"St James, South Elmham",38.0
Sedge Fen,38.0
Stone Common,38.1
Shotley,38.2
Farnham,38.2
Thorpe Common,38.4
Cookley,38.5
Shottisham,38.8
Sibton,39.0
Trimley Lower Street,39.0
Benhall,39.1
Ramsholt,39.2
"St Nicholas, South Elmham",39.2
Friday Street,39.3
Falkenham,39.7
Shotley Gate,39.8
Curlew Green,39.9
Chediston,40.1
Sibton Green,40.1
Benhall Green,40.2
Dorley's Corner,40.2
Carlton,40.3
Flixton,40.3
Snape Watering,40.3
Lower Falkenham,40.3
Saxmundham,40.4
"All Saints, South Elmham",40.5
Wantisden,40.5
Butley,40.7
Gromford,40.7
Sternfield,41.0
"St Peter, South Elmham",41.2
Capel Green,41.2
"St Michael, South Elmham",41.3
North Green,41.6
Yoxford,41.7
Ely Hill,41.7
Chillesford,42.0
Walton,42.0
Butley Abbey,42.0
East Green,42.1
Butley Low Corner,42.2
Butley High Corner,42.4
"St Margaret, Ilketshall",42.7
Boyton,42.8
Bramfield,43.0
Spexhall,43.0
Friston,43.1
Felixstowe,43.2
Bawdsey,43.5
Middleton Moor,43.6
Shingle Street,43.7
Iken,43.8
Bungay,44.0
Darsham,44.3
Sudbourne,44.4
Stone Street,44.4
Knodishall,44.5
"St Lawrence, Ilketshall",44.5
Fordley,44.6
"St John, Ilketshall",44.8
Middleton,44.9
Upper Holton,44.9
Gedgrave,45.0
Thorington,45.2
Coldfair Green,45.3
Theberton,45.6
Wenhaston,45.7
Rattla Corner,45.8
Westleton,46.1
Orford,46.1
Blyford,46.2
"St Andrew, Ilketshall",46.6
Hinton,46.6
Eastbridge,47.1
Westhall,47.6
Sotherton,48.6
Aldeburgh,48.8
Slaughden,48.8
Brampton,49.0
Sizewell,49.2
Shadingfield,49.5
Uggeshall,49.6
Dunwich,49.9
Stoven,50.0
Willingham St Mary,50.2
Weston,50.6
Sotterley,51.6
Ellough,51.6
Frostenden,53.0
Worlingham,53.4
Hulver Street,54.0
North Cove,54.6
South Cove,54.6
Easton Bavents,54.9
Wrentham,55.0
Barnby,55.3
Mutford,55.8
Henstead,55.8
Rushmere,56.3
Benacre,56.7
Covehithe,57.0
Gisleham,58.6
Carlton Colville,58.9
Kessingland,59.0
Somerleyton,60.3
Oulton Broad,61.3
Ashby,62.1
Flixton,62.2
Oulton,62.5
Blundeston,63.0
Lound,63.0
Lowestoft,64.0
Bloodman's Corner,64.0
Corton,65.2
Deanes,6071.1
Everets,6081.8
Russell Point,6083.2
Kings Crossing,6083.7
Indian Point Estates,6084.8
Lake Prince Meadows,6084.9
Princeview Point,6084.9
Palmyra,6085.6
Lake Prince Farms,6085.7
Suffolk,6087.5
Kilby,6090.2
Russell,6090.9
Myrtle,6091.2
Kenyon,6091.7
Skeetertown,6092.3
Carver Terrace,6093.4
Saunders,6093.6
Nurney,6095.9
Nurneysville,6096.4
Bakers Crossing,6097.4
Lummis,6097.7
Franklin Junction,6100.4
Leesville,6100.9
Box Elder,6102.1
Whaley,6103.4
Elwood,6107.1
Pineville,6107.3
Oak Grove,6109.7
Somerton,6110.5
Beales Corner,6110.8
Cleopus,6113.8
Pittmantown,6115.0
South Quay,6115.4
Factory Hill,6118.1
Cherry Grove,6121.2
